EventCode,EventDetails,EventDescription
325,CallerAuthorizationError,The Federation Service could not authorize token issuance for caller '%2'. The caller is not authorized to request a token for the relying party '%3'. See event 501 with the same Instance ID for caller identity. Additional Data Instance ID: %1 Relying party: %3 Exception details: %4 User Action Use the AD FS Management snap-in to ensure that the caller is authorized to request a token for the relying party. 
326,ClaimsPolicyInvalidPolicyTypeError,Failed to load the AD FS claims policy engine using policy type '%1' User Action Make sure AD FS is installed correctly. 
327,SamlSingleLogoutError,An error occurred during processing of the SAML logout request. Additional Data Caller identity: %1 Logout initiator identity: %2 Error message: %3 Exception details: %4 User Action Ensure that the single logout service is configured properly for this relying party trust or claims provider trust in the AD FS configuration database. 
328,SamlArtifactResolutionNoAssertion,"The SAML artifact resolution request was resolved, but the response does not contain the expected assertions. Additional Data: SAML artifact: %1 Status code: %2 SubStatus code: %3 Status message: %4 This request failed. User Action Contact the claims provider for more information. "
329,AdditionalBlobCertificateLoadWarning,The certificate that is identified by thumbprint '%1' could not be decrypted using the keys for X.509 certificate private key sharing. Additional Data: X.509 certificate private key sharing diagnosis: %2 User Action You may have to restore all Active Directory objects underneath the specified distinguished name in the diagnostic information above for X.509 certificate private key sharing. 
331,CertificateManagementDecryptionError,The certificate management service encountered an error during decryption of the keys. storeName: %2 storeLocation: %1 x509FindType: %4 findValue: %3 Additional Data: X.509 certificate private key sharing diagnosis: %5 User Action You may have to restore all Active Directory objects underneath the distinguished name that is specified in the diagnosis for X.509 certificate private key sharing above. 
332,CertificateManagementEncryptionError,The certificate management service encountered an error during encryption of the keys. Subject: %1 Diagnosis: %2 User Action You may have to restore all Active Directory objects underneath the distinguished name that is specified in the diagnosis above for X.509 certificate private key sharing. 
333,CertificateManagementConfigurationError,The certificate management service encountered an error during database access. Additional Data: Diagnosis: %1 User Action Confirm that the SQL store is online. 
334,CertificateManagementWarning,Certificate rollover service needs to rollover %1 certificates urgently. Partners will not be able to apply the update in time. 
335,CertificateManagementInfo,1%
336,CertificateManagementInitiated,The certificate management cycle was initiated. 
337,CertificateManagementComplete,The certificate management cycle was completed. 
338,CertificateManagementGenericError,An error was encountered during certificate rollover. The monitoring cycle was shut down. Additional Data Exception details: %1 Additional details: %2 
339,CertificateManagementInitiationError,An error occurred during initialization of certificate rollover. Certificates will not be rolled over. Additional Data Exception details: %1 
340,ArtifactResolutionSuccessAudit,An SAML artifact resolution request was successfully resolved for the relying party '%1'. Relying party: %1 SAML artifact: %2 
341,SecurityTokenNotYetValidError,The NotBefore attribute for the token has a value that is set to a future time. See inner exception for more details. Additional Data Token Type: %1 Exception details: %2 This request failed. User Action Verify that system clock is synchronized. 
342,SecurityTokenValidationError,Token validation failed. Additional Data Token Type: %1 %Error message: %2 Exception details: %3 
343,ConfigurationDatabaseSynchronizationInitiationError,There was an error during initialization of synchronization. Synchronization of data from the primary federation server to the secondary federation server will not occur. Additional Data Exception details: %1 
344,ConfigurationDatabaseSynchronizationSyncError,There was an error doing synchronization. Synchronization of data from the primary federation server to a secondary federation server did not occur. Additional data Exception details: %1 User Action Make sure the primary federation server is available or the service account identity of this machine matches the service account identity of the primary federation server. 
345,ConfigurationDatabaseSynchronizationCommunicationError,There was a communication error during AD FS configuration database synchronization. Synchronization of data from the primary federation server to a secondary federation server did not occur. Additional Data Master Name : %1 Endpoint Uri : %2 Exception details: %3 
346,ConfigurationDatabaseReadOnlyTransferError,There was an error during retrieving the configuration data for the secondary federation server. Additional Data Exception details: %1 
348,ConfigurationDatabaseSynchronizationCompleted,Synchronization of configuration data from the primary federation server '%1' is completed. %2 objects were added. %3 objects were deleted. 
349,FsAdministrationServiceStart,The administration service for the Federation Service started successfully. You can now use the Windows Powershell commands for AD FS to modify the Federation Service configuration. The following service hosts have been added: %1 
351,PolicyStoreSynchronizationPropertiesGetError,There was an error getting synchronization properties. Additional Data Exception details: %1 
352,ConfigurationDatabaseSqlError,A SQL operation in the AD FS configuration database with connection string %1 failed. Additional Data Exception details: %2 
353,SamlArtifactResolutionSignatureVerificationError,Unable to resolve the SAML artifact. Verification of the artifact response signature failed. Claims provider: %1 Exception details: %2 This request failed. User Action Verify that the claims provider trust in the AD FS configuration database is up to date. Verify that the claims provider trust's signing certificate is up to date. 
354,ArtifactResolutionServiceSignatureVerificationError,The artifact resolution service could not verify the request signature. Additional Data Exception details: %1 User action: Verify that the relying party trust in the AD FS configuration database is up to date. Configure the relying party certificate for request signing. Verify that relying party certificate is up to date. 
356,SqlNotificationRegistrationError,Failed to register notification to the SQL database with the connection string %1 for cache type '%2'. Changes to settings may not take effect until the Federation Service restarts. Additional Data Exception details: %3 
357,SqlNotificationRegistrationResumption,Successfully registered notification to the SQL database with the connection string %1. 
358,ServiceHostRestart,Restarting %1. This restart is necessary because a change was detected in the certificates that this service host uses. Requests that are served by endpoints of this service host may fail during restart. 
359,ServiceHostRestartError,An error occurred during an attempt to restart %1. Additional Data Exception details: %2 User Action Restart the Federation Service to recover from the error. 
360,ClientCertificateNotPresentOnProxyEndpointError,"A request was made to a certificate transport endpoint, but the request did not include a client certificate. This could be because the root CA certificate that issued the client certificate is not in the Trust CA certificate store or because the client certificate is expired. User Action: Ensure that the CA that issued the client certificate in this request has its certificate in the Trusted Root Certificate Authority store on the Local Computer. Ensure that the client certificate is not expired. "
362,WSFederationPassiveSignOutError,Encountered error during federation passive sign-out. Additional Data Exception details: %1 
363,WSFederationPassiveServiceCommunicationError,A communication error occurred during an attempt to get a token from the Federation Service. Make sure that the Federation Service is running. Additional Data Exception details: %1 
364,WSFederationPassiveRequestFailedError,Encountered error during federation passive request. Additional Data Protocol Name: %1 Relying Party: %2 Exception details: %3 
365,RelyingPartyNotEnabled,"A token request was received for the relying party '%1', but the request could not be fulfilled because the relying party trust is not enabled. Relying party: %1 This request failed. User Action If this relying party trust should be enabled, enable it by using the AD FS Management snap-in or Windows PowerShell for AD FS. "
366,ClaimsProviderNotEnabled,"A token was received from claims provider '%1', but the token could not be validated because the claims provider trust is not enabled. Claims provider: %1 This request failed. User Action If this claims provider trust should be enabled, enable it by using the AD FS Management snap-in or Windows PowerShell for AD FS. "
367,AudienceUriValidationFailed,"The audience restriction was not valid because the specified audience identifier is not present in the acceptable identifiers list of this Federation Service. User Action See the exception details for the audience identifier that failed validation. If the audience identifier identifies this Federation Service, add the audience identifier to the acceptable identifiers list by using Windows PowerShell for AD FS. Note that the audience identifier is used to verify whether the token was sent to this Federation Service. If you think that the audience identifier does not identify your Federation Service, adding it to the acceptable identifiers list may open a security vulnerability in your system. Additional Data Token Type: %1 Exception details: %2 "
368,SamlLogoutNameIdentifierNotFoundError,"The SAML Single Logout request does not correspond to the logged-in session participant. Requestor: %1 Request name identifier: %2 Logged-in session participants: %3 This request failed. User Action Verify that the claim provider trust or the relying party trust configuration is up to date. If the name identifier in the request is different from the name identifier in the session only by NameQualifier or SPNameQualifier, check and correct the name identifier policy issuance rule using the AD FS Management snap-in. "
369,WSFederationPassiveTtpRequestError,Processing TTP request failed with the following exception. Additional Data Exception details: %1 User Action Ensure that user has enabled cookies in browser settings. 
370,WSFederationPassiveTtpResponseError,Incoming TTP response is not valid. Processing response failed with following exception. Additional Data Exception details: %1 User Action Ensure that partner federation provider is configured properly to send valid TTP response. 
371,AuthorityCertificateResolveError,Cannot find certificate to validate message/token signature obtained from claims provider. Claims provider: %1 This request failed. User Action Check that Claim Provider Trust configuration is up to date. 
372,WeakSignatureAlgorithmError,Authentication Failed. The token used to authenticate the user is signed using a weaker signature algorithm than expected. Additional Data Token Type: %1 Issuer: %2 Actual token signature algorithm: %3 Expected token signature algorithm: %4 User Action Check that Claim Provider is configured to accept tokens with expected signature algorithm. Use the AD FS PowerShell commands to configure the signature algorithm property. 
373,ArtifactResolutionServiceWeakSignatureAlgorithmError,The artifact request from the replying party is signed with a weaker signature algorithm. Additional Data Relying party identity: %1 Actual message signature algorithm: %2 Expected message signature algorithm: %3 User action: Check that relying party is configured to accept artifact resolution request with expected signature algorithm. Use the AD FS PowerShell commands to configure the signature algorithm property. 
374,AuthorityEncryptionCertificateCrlCheckFailure,"An error occurred while building the certificate chain for the claims provider trust '%1' certificate identified by thumbprint '%2'. The certificate chain could not be built, the certificate has been revoked, or the certificate chain could not be verified as specified by the claims provider trust's encryption certificate revocation settings. AD FS powershell commands can be used to configure the claims provider trust encryption certificate revocation settings. Claims Provider Trust Encryption Certificate Revocation Settings: %3 The following errors occurred while building the certificate chain: %4 User Action: Ensure that the claims provider trust's encryption certificate is valid and has not been revoked. Ensure that AD FS can access the certificate revocation list if the revocation setting does not specify ""none"" or a ""cache only"" setting. Verify your proxy server setting. For more information about how to verify your proxy server setting, see the AD FS Troubleshooting Guide (http://go.microsoft.com/fwlink/?LinkId=182180). "
375,PolicyStoreSynchronizationInitiated,Policy store synchronization initiated. 
376,SqlAttributeStoreQueryExecutionError,An Error occurred while executing a query in SQL attribute store. Additional Data Connection information: %1 Query: %2 Parameters: %3 User Action Examine the exception details to take one or more of the following actions if applicable. Verify that the connection string to the SQL attribute store is valid. Make sure that the SQL attribute store can be reached by the connection string and the SQL attribute store exists. Verify that the SQL query and parameters are valid. Exception details: %4 
377,AttributeStoreError,A processing error occurred in an attribute store. User Action Exception details: %1 
378,SAMLRequestUnsupportedSignatureAlgorithm,SAML request is not signed with expected signature algorithm. SAML request is signed with signature algorithm %1 . Expected signature algorithm is %2 User Action: Verify that signature algorithm for the partner is configured as expected. 
379,InvalidIssuanceInstantError,"A security token was rejected as the specified IssueInstant was before the allowed time frame. Token Type: %1 User Action: To allow tokens for a larger timeframe, use the AD FS PowerShell commands to adjust the value of the ReplayCacheExpirationInterval. "
380,BadConfigurationIdentityCertificateNotValid,"During processing of the Federation Service configuration, the element '%1' was found to have invalid data. The certificate that was configured could not be used. The certificate has been revoked, the certificate chain could not be verified or certificate is not within its validity period. The following are the values of the certificate: Element: %1 Subject: %2 Thumbprint: %3 The Federation Service will not be able to start until this configuration element is corrected. User Action Verify whether the certificate chain for the certificate configured has been revoked by its certificate authority. If the certificate has been revoked or expired, the AD FS service must be issued a new certificate. "
381,AdditionalCertificateValidationFailure,An error occurred during an attempt to build the certificate chain for configuration certificate identified by thumbprint '%1'. Possible causes are that the certificate has been revoked or certificate is not within its validity period. The following errors occurred while building the certificate chain: %2 User Action: Ensure that the certificate is valid and has not been revoked or expired. 
382,SynchronizationThresholdViolation,"AD FS detected that the Federation Service has more than %1 %2 trusts configured and that the data in the AD FS configuration database for this Federation Service is stored and synchronized using Windows Internal Database technology. The overall performance of data synchronization between configuration databases that are stored locally on federation servers across the farm will degrade as you add more than %1 trusts when you use the Windows Internal Database to store the AD FS configuration database. User Action: To improve synchronization performance across your federation server farm, we recommend that you migrate the data in the AD FS configuration database to SQL server. For more information about how to do this, see AD FS Operations Guide (http://go.microsoft.com/fwlink/?LinkId=181189). "
383,WSFederationPassiveWebConfigMalformedError,The Web request failed because the web.config file is malformed. User Action: Fix the malformed data in the web.config file. Exception details: %1 
384,WSFederationPassiveInvalidValueInWebConfigError,The request to the Federation Service failed because the web.config file has an invalid configuration for '%1' that the Federation Service does not support. User Action: Ensure that the configuration of the property '%1' is supported by the Federation Service. 
385,ConfigurationHasExpiredCertsWarning,"AD FS detected that one or more certificates in AD FS configuration database need to be updated manually because they are expired, or will expire soon. See additional details for more information Additional Details: %1 "
386,ConfigurationHealthyCertsInfo,AD FS detected that none of the service certificates that are configured to be managed by the administrator are due to expire. 
387,CertPrivateKeyInaccessibleError,AD FS detected that one or more of the certificates specified in the Federation Service were not accessible to the service account used by the AD FS Windows Service. User Action: Ensure that the AD FS service account has read permissions on the certificate private keys. Additional Details: %1 
388,CertPrivateKeyAccessibleInfo,AD FS detected that all the service certificates have appropriate access given to the AD FS service account. 
389,TrustsHaveExpiredCertsWarning,"AD FS detected that one or more of your trusts require their certificates to be updated manually because they are expired, or will expire soon. See additional details for more information Additional Details: %1 "
390,TrustsHaveHealthyCertsInfo,AD FS detected that none of the partner certificates that are configured to be managed by the administrator are due to expire. 
392,FsProxyTrustTokenRenewalSuccess,The federation server proxy was able to successfully renew its trust with the Federation Service. Proxy trust certificate subject: %1. Proxy trust certificate old thumbprint: %2. Proxy trust certificate new thumbprint: %3. 
393,ProxyTrustTokenIssuanceFailure,The federation server proxy could not establish a trust with the Federation Service. Additional Data Exception details: %1 User Action Ensure that the credentials being used to establish a trust between the federation server proxy and the Federation Service are valid and that the Federation Service can be reached. 
394,FsProxyTrustTokenRenewalError,"The federation server proxy could not renew its trust with the Federation Service. Additional Data Exception details: %1 User Action Ensure that the federation server proxy is trusted by the Federation Service. If the trust does not exist or has been revoked, establish a trust between the proxy and the Federation Service using the Federation Service Proxy Configuration Wizard by logging on to the proxy computer. "
395,ProxyTrustTokenIssuanceSuccess,The trust between the federation server proxy and the Federation Service was established successfully using the account '%1'. Proxy trust certificate subject: %2. Proxy trust certificate thumbprint: %3. 
396,ProxyTrustTokenRenewalSuccess,The trust between the federation server proxy and the Federation Service was renewed successfully. Proxy trust certificate subject: %1. Proxy trust certificate old thumbprint: %2. Proxy trust certificate new thumbprint: %3. 
397,HttpProxyConfigurationInfo,"The federation server loaded the HTTP proxy configuration from WinHTTP settings. HTTP Proxy: %1 HTTPS Proxy: %2 Bypass proxy for local addresses: %3 Bypass proxy for addresses: %4 To learn more about how to set the HTTP proxy settings for the federation server, see http://go.microsoft.com/fwlink/?LinkId=182180. "
398,ConfigurationHasArchivedCertsWarning,AD FS detected that one or more certificates in the AD FS configuration database need to be updated manually because they are archived. Additional Details: %1 
399,ConfigurationHealthyUnarchivedCertsInfo,AD FS detected that none of the service certificates that are configured to be managed by the administrator are archived. 
400,GiveUserVSSAccess,VSS writer permissions have been granted to user %1. 
401,RevokeUserVSSAccess,VSS writer permissions have been revoked from user %1. 
402,CertificateClaimUnknownError,Failed to add some of the certificate claims. 
403,RequestReceivedSuccessAudit,An HTTP request was received. See audit 510 with the same Instance ID for headers. Instance ID: %1 Activity ID: %2 Request Details: Date And Time: %3 Client IP: %4 HTTP Method: %5 Url Absolute Path: %6 Query string: %7 Local Port: %8 Local IP: %9 User Agent: %10 Content Length: %11 Caller Identity: %12 Certificate Identity (if any): %13 Targeted relying party: %14 Through proxy: %15 Proxy DNS name: %16 
404,ResponseSentSuccessAudit,An HTTP response was dispatched. See audit 510 with the same Instance ID for headers. Instance ID: %1 Activity ID: %2 Response Details: Date And Time: %3 Status Code: %4 Status Description: %5 
405,PasswordChangeSuccessAudit,Password change succeeded for following user: Activity ID: %1 User: %2 Server on which password change was attempted: %3 
406,PasswordChangeFailureAudit,Password change failed for following user: Additional Data Activity ID: %1 User: %2 Server on which password change was attempted: %3 Error details: %4 
407,PasswordChangeError,Password change failed for following user: Additional Data User: %1 Server on which password change was attempted: %2 Error details: %3 
408,DeviceAuthenticationFailureAudit,Device authentication failed for following device: Additional Data Activity ID: %1 User: %2 Client IP: %3 Target Application: %4 Device Certificate: %5 Device ID: %6 Device Name: %7 Error Message: %8 
409,DeviceAuthenticationSuccessAudit,Device authentication successful for following device: Additional Data Activity ID: %1 User: %2 Client IP: %3 Target Application: %4 Device Certificate: %5 Device ID: %6 Device Name: %7 Registered owner's sid: %8 Is current User registered: %9 
410,RequestContextHeadersSuccessAudit,Following request context headers present : Activity ID: %1 %2: %3 %4: %5 %6: %7 %8: %9 %10: %11 %12: %13 %14: %15 
411,SecurityTokenValidationFailureAudit,Token validation failed. See inner exception for more details. Additional Data Activity ID: %1 Token Type: %2 Error message: %3 Exception details: %4 
412,AuthenticationSuccessAudit,A token of type '%3' for relying party '%4' was successfully authenticated. See audit 501 with the same Instance ID for caller identity. Instance ID: %1 Activity ID: %2 
413,CallerIdFailureAudit,An error occurred during processing of a token request. The data in this event may have the identity of the caller (application) that made this request. The data includes an Activity ID that you can cross-reference to error or warning events to help diagnose the problem that caused this error. Additional Data Activity ID: %1 Caller: %2 OnBehalfOf user: %3 ActAs user: %4 Target Relying Party: %5 Device identity: %6 User action: Use the Activity ID data in this message to search and correlate the data to events in the Event log using Event Viewer. This Activity ID will also be shown as additional information in the error page when an error occurs in the federation passive Web application. 
414,InvalidMsisHttpRequestAudit,An error occurred during processing of a token request. The data includes an Activity ID that you can cross-reference to error or warning events to help diagnose the problem that caused this error. Additional Data Activity ID: %1 Target Relying Party: %2 Is Application Proxy Configured: %3 Is Request From the Extranet: %4 User action: Use the Activity ID data in this message to search and correlate the data to events in the Event log using Event Viewer. This Activity ID will also be shown as additional information in the error page when an error occurs in the federation passive Web application. 
415,UnregisteredDrsUpnSuffixes,1%
416,WebConfigurationError,Web configuration error: %1 
417,CertificateClaimError,Unable to add the certificate claim %1. 
418,StsProxyTrustRenewalAuditSuccess,The trust between the federation server proxy and the Federation Service was successfully renewed. Additional Data Server from which request was made: %1 Certificate Subject: %2 Old Certificate Thumbprint: %3 New Certificate Thumbprint: %4 
419,StsProxyTrustRenewalAuditFailure,Unable to renew the trust between the federation server proxy and the Federation Service. Additional Data Server from which request was made: %1 Exception details: %2 
420,StsProxyTrustTokenEstablishmentAuditSuccess,The trust between the federation server proxy and the Federation Service was successfully established. Additional Data User: %1 Server from which request was made: %2 Certificate Subject: %3 Certificate Thumbprint: %4 
421,StsProxyTrustTokenEstablishmentAuditFailure,The trust between the federation server proxy and the Federation Service could not be established. Additional Data User: %1 Server from which request was made: %2 
424,ClientCertNotTrustedOnStsAuditFailure,The federation server proxy was not able to authenticate the client certificate presented in the request. Activity ID: %1 Client certificate thumbprint: %2 Client certificate subject name: %3 Client endpoint: %4 Inner exception: %5 User Action Ensure that the request is using the certificate used to establish the trust between the Federation Server Proxy and the Federation Service. 
425,ApplicationProxyConfigurationStoreChangeAuditSuccess,The following update was successful to the application proxy store on the federation server. Activity ID: %1 Authentication information: %2 HTTP method: %3 Key: %4 Value: %5 Version: %6 
426,ApplicationProxyConfigurationStoreChangeAuditFailure,The following update attempt to the application proxy store on the federation server failed. Activity ID: %1 Authentication information: %2 HTTP method: %3 Key: %4 Value: %5 Version: %6 Error information: %7 
427,ApplicationProxyTrustUpdateAuditSuccess,The following update attempt to the application proxy relying party trust on the federation server succeeded. Activity ID: %1 Authentication information: %2 HTTP method: %3 Identifier: %4 
428,ApplicationProxyTrustUpdateAuditFailure,The following update attempt to the application proxy relying party trust on the federation server failed. Activity ID: %1 Authentication information: %2 HTTP method: %3 Identifier: %4 Error information: %5 
429,RelyingPartyTrustUpdateAuditSuccess,The following update attempt to the relying party trust on the federation server succeeded. Activity ID: %1 Authentication information: %2 HTTP method: %3 Relying party trust identifier: %4 Internal Url: %5 External Url: %6 Published identifier: %7 
430,RelyingPartyTrustUpdateAuditFailure,The following update attempt to the relying party trust on the federation server failed. Activity ID: %1 Authentication information: %2 HTTP method: %3 Relying party trust identifier: %4 Internal url: %5 External url: %6 Published identifier: %7 Error information: %8 
431,ActiveRequestRSTSuccessAudit,An active request was received at STS with RST containing: Activity ID: %1 RST Details: KeySize: %2 KeyType: %3 RequestType: %4 TokenType: %5 SignatureAlgorithm: %6 
432,ProxyConfigurationEndpointError,Error handling request from proxy at %1 Additional Data Exception details: %2 
433,ProxyTrustTokenRenewalError,Error encountered while renewing trust with the federation server proxy. Additional Data Exception details: %1 
434,CertificateAuthorityExpirationCheckWarning,"The primary AD FS certificate authority issuer certificate ( thumbprint %1 ) will expire at %2 UTC. The certificate rollover service will roll over to the current secondary ( thumbprint %3 ) at %4 UTC. To avoid certificate issuance service interruption, ensure that the current secondary certificate ( thumbprint %3 ) is installed in Active Directory before the rollover occurs at %4 UTC. "
435,PrimarySigningCertificateRolloverCheckWarning,The primary AD FS token signing certificate ( thumbprint %1 ) will expire at %2 UTC. The certificate rollover service will roll over to the current secondary ( thumbprint %3 ) at %4 UTC. Relying parties that rely on federation metadata will be notified automatically; any relying parties that do not rely on federation metadata must be informed of the new certificate before the rollover at %4 UTC. 
436,PrimaryDecryptionCertificateRolloverCheckWarning,The primary AD FS token decryption certificate ( thumbprint %1 ) will expire at %2 UTC. The certificate rollover service will roll over to the current secondary ( thumbprint %3 ) at %4 UTC. Identity providers that rely on federation metadata will be notified automatically; any identity providers that send encrypted tokens to AD FS and do not rely on federation metadata must be informed of the new certificate before the expiration at %2 UTC. 
437,CertificateRolloverCheckExceptionWarning,"Error encountered while checking for pending certificate rollovers. This check will be attempted again every %1 minutes; the next run is expected at %2 UTC. If this issue persists, AD FS will not be able to advise of pending certificate rollover events. Additional Data Exception details: %3 Additional details: %4 "
438,CertificateAuthorityRolloverExceptionWarning,"Error encountered while checking rollover status of the AD FS certificate authority issuer certificate. This check will be attempted again every %1 minutes; the next run is expected at %2 UTC. Future runs may occur on other farm nodes if AD FS is running in a farm configuration. If this issue persists, the AD FS certificate authority issuer certificate cannot be rolled over successfully when it nears expiry. Additional Data Exception details: %3 Additional details: %4 "
439,EnrollmentCertificateReadFromTemplateError,Error encountered while attempting to read an enrollment certificate from a template. Additional Data Exception details: %1 Additional details: %2 
440,EnrollmentCertificateSetInfo,A Certificate Authority Enrollment Certificate was found. Additional Data Certificate Thumbprint: %1 
441,TokenBindingKeyInvalid,A token with a bad token binding key was found. Additional Data User: %1 Target RP: %2 Client IP: %3 Token Binding ID: %4 Request Provided ID: %5 Request Referred ID: %6 
442,ExternalCAEnrollmentCertificateManagementInitiated,The CA enrollment certificate management cycle was initiated. 
443,ExternalCAEnrollmentCertificateManagementComplete,The CA enrollment certificate management cycle was completed. 
444,ExternalCAEnrollmentCertificateExceptionError,"Error encountered while checking status of the AD FS enrollment certificate. This check will be attempted again every %1 minutes; the next run is expected at %2 UTC. If this issue persists, the AD FS will not be able to enroll certificate. Additional Data Exception details: %3 Additional details: %4 "
500,IssuedIdentityClaims,More information for the event entry with Instance ID %1. There may be more events with the same Instance ID with more information. Instance ID: %1 Issued identity: %2 %3 %4 %5 %6 %7 %8 %9 %10 %11 %12 %13 %14 %15 %16 %17 %18 %19 %20 %21 
501,CallerIdentityClaims,More information for the event entry with Instance ID %1. There may be more events with the same Instance ID with more information. Instance ID: %1 Caller identity: %2 %3 %4 %5 %6 %7 %8 %9 %10 %11 %12 %13 %14 %15 %16 %17 %18 %19 %20 %21 
502,OnBehalfOfUserIdentityClaims,More information for the event entry with Instance ID %1. There may be more events with the same Instance ID with more information. Instance ID: %1 OnBehalfOf identity: %2 %3 %4 %5 %6 %7 %8 %9 %10 %11 %12 %13 %14 %15 %16 %17 %18 %19 %20 %21 
503,ActAsUserIdentityClaims,More information for the event entry with Instance ID %1. There may be more events with the same Instance ID with more information. Instance ID: %1 ActAs identity: %2 %3 %4 %5 %6 %7 %8 %9 %10 %11 %12 %13 %14 %15 %16 %17 %18 %19 %20 %21 
504,ApplicationProxyConfigurationStoreChangeSuccess,The following update was successful to the application proxy store on the federation server. Authentication information: %1 HTTP method: %2 Key: %3 Value: %4 Version: %5 
505,ApplicationProxyConfigurationStoreChangeFailure,The following update attempt to the application proxy store on the federation server failed. Authentication information: %1 HTTP method: %2 Key: %3 Value: %4 Version: %5 Error information: %6 
506,ApplicationProxyTrustUpdateSuccess,The following update attempt to the application proxy relying party trust on the federation server succeeded. Authentication information: %1 HTTP method: %2 Identifier: %3 
507,ApplicationProxyTrustUpdateFailure,The following update attempt to the application proxy relying party trust on the federation server failed. Authentication information: %1 HTTP method: %2 Identifier: %3 Error information: %4 
508,RelyingPartyTrustUpdateSuccess,The following update attempt to the relying party trust on the federation server succeeded. Authentication information: %1 HTTP method: %2 Relying party trust identifier: %3 Internal Url: %4 External Url: %5 Published identifier: %6 
509,RelyingPartyTrustUpdateFailure,The following update attempt to the relying party trust on the federation server failed. Authentication information: %1 HTTP method: %2 Relying party trust identifier: %3 Internal url: %4 External url: %5 Published identifier: %6 Error information: %7 
510,LongText,More information for the event entry with Instance ID %1. There may be more events with the same Instance ID with more information. Instance ID: %1 Details: %2 %3 %4 %5 %6 %7 %8 %9 %10 %11 %12 %13 %14 %15 %16 %17 %18 %19 %20 %21 
511,InvalidMsisHttpSigninRequestFailure,"The incoming sign-in request is not allowed due to an invalid Federation Service configuration. Request url: %1 User Action: Examine the Federation Service configuration and take the following actions: Verify that the sign-in request has all the required parameters and is formatted correctly. Verify that a web application proxy relying party trust exists, is enabled, and has identifiers which match the sign-in request parameters. Verify that the target relying party trust object exists, is published through the web application proxy, and has identifiers which match the sign-in request parameters. "
512,ExtranetLockoutAccountThrottledAudit,The account for the following user is locked out. A login attempt is being allowed due to the system configuration. Additional Data Activity ID: %1 User: %2 Client IP: %3 Bad Password Count: %4 nLast Bad Password Attempt: %5 
513,ArtifactRestEndpointRequestFailureAudit,The Artifact REST service failed to return an artifact as a result of an error during processing. Additional Data Activity ID: %1 Request Details: Client IP: %2 Requested Uri: %3 Exception details: %4 
514,ArtifactRestEndpointRequestSuccessAudit,The Artifact REST service successfully returned an artifact. Additional Data Activity ID: %1 Request Details: Client IP: %2 Requested Uri: %3 
515,ExtranetLockoutUserThrottleTransitionAudit,The following user account was in a locked out state and the correct password was just provided. This account may be compromised. Additional Data Activity ID: %1 User: %2 Client IP: %3 
516,ExtranetLockoutAccountRestrictedAudit,The following user account has been locked out due to too many bad password attempts. Additional Data Activity ID: %1 User: %2 Client IP: %3 nBad Password Count: %4 nLast Bad Password Attempt: %5 
517,TargetRelyingPartyPublishedButAppProxyDisabledFailure,The incoming sign-in request is not allowed due to an invalid Federation Service configuration. Request url: %1 User Action: Verify that either an enabled web application proxy relying party trust exists in your Federation Service configuration or that the target relying party trust object is not published through a web application proxy. 
518,TargetRelyingPartyPublishedButAppProxyDisabledFailureAudit,An error occurred during processing of a token request. The data includes an Activity ID that you can cross-reference to error or warning events to help diagnose the problem that caused this error. Additional Data Activity ID: %1 User action: Use the Activity ID data in this message to search and correlate the data to events in the Event log using Event Viewer. This Activity ID will also be shown as additional information in the error page when an error occurs in the federation passive Web application. 
519,PrimayServerRequestHandlerResponseSuccessAudit,A successful response status code was received from the primary server. The data includes an Activity ID that you can cross-reference to the events on the primary server to help diagnose the problem. Activity ID: %1 Authentication information: %2 Raw URL of the incoming request: %3 Response status code: %4 IP address from which the request originated: %5 
520,PrimayServerRequestHandlerResponseFailureAudit,An error response status code was received from the primary server. The data includes an Activity ID that you can cross-reference to error or warning events on the primary server to help diagnose the problem. Activity ID: %1 Authentication information: %2 Raw URL of the incoming request: %3 Response status code: %4 WebException response code: %5 IP address from which the request originated: %6 
521,RelyingPartyTokenRequestFailure,"The request for the relying party token resulted in a failure. Authentication information: %1 HTTP method: %2 Username: %3 Password presented: %4 Realm: %5 Application realm: %6 Device registration certificate thumbprint: %7 User certificate thumbprint: %8 Error information: %9 User action: Examine the request and verify that at least one of the following parameter sets are present. Username and password Username, password, and device registration certificate User certificate "
522,RelyingPartyTokenRequestAuditFailure,The request for the relying party token resulted in a failure. The data includes an Activity ID that you can cross-reference to error or warning events on the primary server to help diagnose the problem. Activity ID: %1 Authentication information: %2 HTTP method: %3 Username: %4 Password presented: %5 Realm: %6 Application realm: %7 Device registration certificate thumbprint: %8 User certificate thumbprint: %9 Error information: %10 User action: Use the Activity ID data in this message to search and correlate the data to events in the Event log using Event Viewer. 
523,RelyingPartyTokenRequestAuditSuccess,The request for the relying party token succeeded. The data includes an Activity ID that you can cross-reference to the events on the primary server to help diagnose the problem. Activity ID: %1 Authentication information: %2 HTTP method: %3 Username: %4 Password presented: %5 Realm: %6 Application realm: %7 Device registration certificate thumbprint: %8 User certificate thumbprint: %9 
530,LocalCPTrustReadWarning,AD FS could not read the local claims provider trusts from the AD FS configuration. AD FS will continue to operating from cached configuration. Exception details: %1 
531,LocalCPTrustFirstReadError,AD FS could not read the local claims provider trusts from the AD FS configuration. AD FS will not function until this configuration can be read for the first time. Exception details: %1 
